"X","AI_Prov_Name","File_Date","File_Count","Group_Count","Ethnicity","IEP","LEP","Gender","Ven_Stud_ID","Grade","Stud_Test_ID","Score_Flag","Item_ID","Item_Response","Data_Point_A","Final_Score_A","Read1_Date_A","Read1_ID_A","Read1_Score_A","Read1_Cond_A","Read2_Date_A","Read2_ID_A","Read2_Score_A","Read2_Cond_A","Read3_Date_A","Read3_ID_A","Read3_Score_A","Read3_Cond_A","Read5_Date_A","Read5_ID_A","Read5_Score_A","Read5_Cond_A","Data_Point_B","Final_Score_B","Read1_Date_B","Read1_ID_B","Read1_Score_B","Read1_Cond_B","Read2_Date_B","Read2_ID_B","Read2_Score_B","Read2_Cond_B","Read3_Date_B","Read3_ID_B","Read3_Score_B","Read3_Cond_B","Read5_Date_B","Read5_ID_B","Read5_Score_B","Read5_Cond_B","Data_Point_C","Final_Score_C","Read1_Date_C","Read1_ID_C","Read1_Score_C","Read1_Cond_C","Read2_Date_C","Read2_ID_C","Read2_Score_C","Read2_Cond_C","Read3_Date_C","Read3_ID_C","Read3_Score_C","Read3_Cond_C","Read5_Date_C","Read5_ID_C","Read5_Score_C","Read5_Cond_C","Alert_Code_1","Alert_ReaderID_1","Alert_Code_2","Alert_ReaderID_2","prediction_A","prediction_B","prediction_C"
0,"AI-XC",20131218113507,1000,1000,"W","","","M",392132,5,11064106,"Y",56274," Archeologists have a very important job. They find artifacts from way back in history when George Washington was alive and artifacts from Jamestown Island. They used many tools to keep the artifacts safe and in great condition. In this report you will learn what the archeologists found and used to give you history we learn today!!!       In 1994, a group of people were interested in studying the past started the Jamestown Rediscovery Archeologists Project.The project was designed to discover the secrets of the James Fort in Virginia. For over 200 years, people thought that the fort had been washed away by a river. Some discoveries in the area hinted that it might still be around.       The first objects were found in 1861. They found uncovered armor and weapons. They also discovered the floors of buildings. The people doing the study used computer mapping software to make an image of the area. That's when they finally found James Fort!       The first thing they found was a set of marks on the ground. The marks showed where the fort's walls used to be. The archeologists also found eleven cellars and ten buildings all within the border of the fort. Today, the group finds nearly one million objects each year!       Archeologists used a lot of tools. Most of them were used to clean off dirt off the artifacts. They used picks, shovels, whisks, dustpans, knifes, wheelbarrows, skim shovels, and trowels.       I hope you learned a lot about archeologists and someday you will be one too!!! ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34769358764907,2.28841095207496,2
1,"AI-XC",20131218113507,1000,1000,"NR","","","M",392232,5,11064113,"Y",56274," In this story it talks about archeologists and how they found fort james and wsahington's past .                                                              fort james               Well in 1994 some archeolgists where interested in look for fort james they called there group rediscovery the fort was build in 1607 most people came from england to start a new life some people believed that james fort was built near the river it was easy to dock ships there.                       The frist objects were found in 1861 over 100 years later a group effort to find the exact spot where the fort was built began.the National park service led five years study of the area to figure out how the land was used. they used computers mapping software to make an image of the area. that's when they finally found james fort! the first thing they found was a set of marks on the ground. the mark's showed where the fort's walls used to be.                           digging up george washing's past                            Then some archeolgists where interested in washington's past you may think you know about washington's past but you don't you know about when he was a soldier he is about his past befor he was a soldier george live in a place called ferry farms over 12,000 years  washington first moved there when he was six no one knew where washington home was located  since the actual building was long gone  they say the stone base was still there they started digging in 2003   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75699370349336,1.59200858150491,0.777886042234501
2,"AI-XC",20131218113507,1000,1000,"W","N","N","M",393774,5,11064118,"Y",56274," One day there is a super storm, and we were at school, and a wird bird flew in our classroom .It frist looked dead but started criyingand, then it got sucked out the    window by a heraeckne.The next day the same thing happened. For the past few days the storm got worse,and worse. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
3,"AI-XC",20131218113507,1000,1000,"H","Y","N","M",394198,5,11064124,"Y",56274," Archeologist have one of the most important job there is.The job of a archeologist is a long and hard working job.   The job of a archeologist is a long process with teams up to 35.Archeologist use some of the most common tools.   They use pick,shovel,whisk,dustpan,knife,wheelbarrow,skim shovel and a trowel.Each one has it's own use.               The shovel and pick are for digging close to the artifact and are use to start a dig.The whisk is used to clean the   artifacts and get dirt away from the site.A dustpan is with the whisk and is to hold small amounts of dirt.Knife is the   tool for careful digging around the artifact.           A wheelbarrow,skim shovel and trowel is not as important but are still helpful to have.a wheelbarrow is used to   move large amounts of dirt from one place to other places in the area and a skim shovel is to take thin layers of soil in   each scoop.A trowel is the most common tool to the archeologist used to cut layer of soil.             Archeologist had found many things.They found fort James and Washington's house to.It took 100 year after they start looking for fort James to find it.At fort James they also found a ditch in fort James full of junk.          At washington's house they found many things. They found coins,pottory and a pipe.The last thing they found was the main house at Ferry Farm.                                                                                                                                                                                                                                                                                                                                                     The job of a archeologist is long and hard but it is all wroth the wait.                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2765151751331,2.17924975470309,1.18483062606122
4,"AI-XC",20131218113507,1000,1000,"H","","N","M",394408,5,11064130,"Y",56274," It is hard to be a archeologists because you have to work in the  hot sun all day looking for fossils. the only good part about being a archeologist is that when you find a fossil. and it will be a fortune and a lot is going to when you valuable fossils somewhere around the world and if you show it to your friends they might want to steal it. and run away and if you call the cops they wont help you because it is your responsible for losing it.archeologist are fun but it gets boring sometimes when you do it all lot it gets boring and it makes you want to quit being a archeologist. one part of my family was archeologist but they quit. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
5,"AI-XC",20131218113507,1000,1000,"H","","N","F",394418,5,11064136,"Y",56274,"              These  passages  were  about  ,Past  Time  of History.The  very   1st  passage   was  about,Finding  Fort  James,it  was  very  interesting  it  says   in  1994,volueenters  were   interested  in   finding  Jame's  Fort.It  says  that   they  started   in   a   town  called  Rediscovery,thats   in    Virginia,  thats   where   they   found  his  fort  .The  2nd  passage  was about   Digging  up    George   Washington's   Past.They  dug  up   Washingtion,It  says   that    as  his   time  as  a  soldier   and  as  the   president  was  very   interesting   to  the  archeaoligist!They  didn't have  as   much  information  as  him   as  a   child .    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.32216407302731
6,"AI-XC",20131218113507,1000,1000,"B","N","N","M",394436,5,11064140,"Y",56274," Im writing about there jobs.There only trying to find old digging suppies. They just research the that they made the homes with. They got some suppies what they needed back when they made the house.They used the shovel,knife, pick, whisk,and a wheelbarrow.        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.400565937073812
7,"AI-XC",20131218113507,1000,1000,"NR","","","M",394871,5,11064146,"Y",56274," George washington helped a lot of people thats how he became our president.He helped people and gave him money and he got more money and more. Then one day he payed to watch a show and then the wrong man came in their it was a asassination to kill george washington  so he wathed some of it then he sneaked up stairs. Then he went in george room and had a gun then he put the gun to george head then pulled the trigger and he jumped out of the window.And then he broke his leg then limped out of there then got on his horse and then ran away then he apeared at this house and a man was in there then he asked for help then he healed his leg then he got arestedfor murder.Then the police killed him.     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
8,"AI-XC",20131218113507,1000,1000,"NR","","","M",394990,5,11064151,"Y",56274," Today I learned so much about archeologist.When I grow up I will probability be an archeologist.The tools are interesting. The pick and shovel are used to dig and mine to look for important artifacts.the knife is used to carefully to scrape off any thing that is stuck to the artifacts. The whisk and dust pan is used to get dirt or sand off of the artifact.The wheelbarrow is used to carry special and or heavy artifacts like dinosaur bones or cave men.And the skim shovel is used to dig up thin layer of dirt and sand.The trowel issued for little dirt areas and can also be used as a crow bar or a wepan.       The life of a archeologist is inter interesting and fascinating.I would love to be an archeologist      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37053160726362,1.22696854692969,0.720984322661054
9,"AI-XC",20131218113507,1000,1000,"H","N","Y","F",395039,5,11064155,"Y",56274," What an archeologists do are study about other people and about there life. They can study mostly anyones life presidents from the past famous people who have did things that nobody had ever done.              Like the life of 2 people and when they where smallthey were best friends and they had promissed each other to stay togeter and never argue on other things.      When that person left the kindergarton that she left and returned until 4th grade and we had became friends again.          During all those years not together we talked about the school she went and when she was in Montesino. And when she was telling me something a nice girl caame and she was our friend when ever one of us were gone she would take that persons place and she would play with that person who was my two best friends. Untilthe school year was ending she had to move to another school because her mom didn't want her to be there anymore, so that was the time when the person and her friend had to be together alone again and we still miss her.          And when she had left the persons friend had to go a watch what someone was dong and then she saw that person playing a game with a boy and she had told her a question and then she ask her if that person liked the  boy and she had tooken a while and said yes she did llike that boy. And when it was Valentines Day our teacher switched seats and that person had to sit with the person who she liked.The boy and the girl got along together. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42087487829758,1.35466410370907,0.334250952763175
